Russian,Kubachin
Беда одна не приходит,"Са бакIал ве дикIу, веал сукъуржуд дикIу"
"Где вода застоялась, там снова застоится","Сухъ шин диццу муссан, гьибая диццу"
Пригоршня стала ушат перевешивать,СсягIлижийа дубхь чибулхъан бухубсаб
"Дай Бог хлеба, пока есть зубы",Сулбе лидалле тIулутI бикаб
"Как начнешь, так жизнь и пройдет",Табдяхъибдикьле бахьай дуна
"Если душа (сердце) поместится, поместится и тело",УкIе кабасал вагьйа кусу
"Сладкие речи, горькая душа","УкIе – щахха, бицце муле"
"У пьяного на уме то, что на языке",Уччуухубилла укIилжибзиб мулилтаб бихвай
"И камень бывает легким, коли себе несешь",Хъил букъузиб къа̄ къа бикIвле абихвай
"Если только на небо смотреть, сено не высохнет",Ццагу чивгьуилла ма дугъагъу
На колючке только колючка и вырастет,Ццаццилжиб хIяццацце акквел бикIекIу
В соли даже черви не водятся,Ццилцце мяхъв алгьагьан
"Съевший соль, пусть и воды пьет",Цце дейкунили шинйа деччикка
Новый месяц пусть будет благодатным!,"ЦIи бац баркатла бухаб, баркат хейрилла бухаб, бащиб балгунзиб бухаб!"
Только из стали высекают искры,Чалданниццил аккве цIа кададахьай
Из-за калача лишился хлеба,Чариган багьнал тIулутIлиццил ухъин
"Лучше знает тот, кто столкнулся",Чебукъибиллий гIях бакIул вихвай
"Не спрашивай куда, говори: в счастливый путь","Чина гьадабукIа, саламат викье дукIа"
"Лишь бы, да как бы",Чибле бухуттеле чибгIукьин
Кошка любит теплое местечко,Ччитуй гьамкI мусса бичихъу
"Воду – младшим, дорогу – старшим","Шин викIелий тала, хьуне хвалелий"
"Где вода протекает, там и лопатой орудуют","Шин дахьна, кIятIа ххвярш"
Вода найдет дорогу,Шинни хьуне буукку
Храни порох сухим,Юсан дегъуб даати
"То ли волку, то ли собаке","Я бицIла бихвай, я ххвилла"
"Может поправиться, а может и помереть","Я гIяхбухилалсаб, я бибчIилалсаб"
На земле все чередом,Яргалла дуна саб ей
